Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
TUBB	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
FLOT1	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
HCG20	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
IER3	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
RN7SKP186	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
RN7SL353P	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
ATAT1	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
C6ORF136	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
DDR1	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
DHX16	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
LINC00243	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
MDC1	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
MRPS18B	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
NRM	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
PPP1R10	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
PPP1R18	6p21.33	18 (8.37%)	0 (0.00%)	>10	4.854e-5	0.0154	Co-occurrence<Significant>	
TNF	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
TNXB	6p21.33-p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
VARS	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
VARS2	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
VWA7	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
ZBTB12	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
FKBPL	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
GNL1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
GPANK1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
GPSM3	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
GTF2H4	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
HCG21	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
HCG23	6p21.32	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
HCP5	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
HSPA1A	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
HSPA1B	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
HSPA1L	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
SAPCD1	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
SFTA2	6p21.33	17 (7.91%)	0 (0.00%)	>10	8.580e-5	0.0154	Co-occurrence<Significant>	
