Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
PMFBP1	16q22.2	36 (16.67%)	1 (0.66%)	4.65	2.41e-8	2.944e-4	Co-occurrence<Significant>	
PKD1L1	7p12.3	49 (22.69%)	5 (3.31%)	2.78	3.39e-8	2.944e-4	Co-occurrence<Significant>	
RP1	8q11.23-q12.1	94 (43.52%)	28 (18.54%)	1.23	3.06e-7	1.711e-3	Co-occurrence<Significant>	
CSMD2	1p35.1	88 (40.74%)	25 (16.56%)	1.30	3.95e-7	1.711e-3	Co-occurrence<Significant>	
MUC17	7q22.1	87 (40.28%)	25 (16.56%)	1.28	6.12e-7	2.122e-3	Co-occurrence<Significant>	
LY75	2q24.2	31 (14.35%)	2 (1.32%)	3.44	3.213e-6	9.223e-3	Co-occurrence<Significant>	
HIVEP3	1p34.2	37 (17.13%)	4 (2.65%)	2.69	3.723e-6	9.223e-3	Co-occurrence<Significant>	
ADGRB3	6q12-q13	52 (24.07%)	10 (6.62%)	1.86	4.375e-6	9.485e-3	Co-occurrence<Significant>	
ASTN1	1q25.2	49 (22.69%)	9 (5.96%)	1.93	5.907e-6	0.0114	Co-occurrence<Significant>	
TG	8q24.22	43 (19.91%)	7 (4.64%)	2.10	9.967e-6	0.0172	Co-occurrence<Significant>	
PTPRT	20q12-q13.11	78 (36.11%)	24 (15.89%)	1.18	1.189e-5	0.0172	Co-occurrence<Significant>	
TACC2	10q26.13	52 (24.07%)	11 (7.28%)	1.72	1.192e-5	0.0172	Co-occurrence<Significant>	
TRANK1	3p22.2	58 (26.85%)	14 (9.27%)	1.53	1.456e-5	0.0173	Co-occurrence<Significant>	
TNXB	6p21.33-p21.32	60 (27.78%)	15 (9.93%)	1.48	1.503e-5	0.0173	Co-occurrence<Significant>	
DNAH11	7p15.3	64 (29.63%)	17 (11.26%)	1.40	1.534e-5	0.0173	Co-occurrence<Significant>	
OR4M1	14q11.2	34 (15.74%)	4 (2.65%)	2.57	1.637e-5	0.0173	Co-occurrence<Significant>	
EPHA2	1p36.13	20 (9.26%)	0 (0.00%)	>10	1.701e-5	0.0173	Co-occurrence<Significant>	
ABCA4	1p22.1	44 (20.37%)	8 (5.30%)	1.94	1.918e-5	0.0185	Co-occurrence<Significant>	
TRIM55	8q13.1	27 (12.50%)	2 (1.32%)	3.24	2.596e-5	0.0207	Co-occurrence<Significant>	
NLRP14	11p15.4	27 (12.50%)	2 (1.32%)	3.24	2.596e-5	0.0207	Co-occurrence<Significant>	
OC90	8q24.22	19 (8.80%)	0 (0.00%)	>10	3.004e-5	0.0207	Co-occurrence<Significant>	
CAMSAP3	19p13.2	19 (8.80%)	0 (0.00%)	>10	3.004e-5	0.0207	Co-occurrence<Significant>	
ANKRD12	18p11.22	19 (8.80%)	0 (0.00%)	>10	3.004e-5	0.0207	Co-occurrence<Significant>	
IQCN	19p13.11	19 (8.80%)	0 (0.00%)	>10	3.004e-5	0.0207	Co-occurrence<Significant>	
TSHZ2	20q13.2	38 (17.59%)	6 (3.97%)	2.15	3.107e-5	0.0207	Co-occurrence<Significant>	
DMBT1	10q26.13	66 (30.56%)	19 (12.58%)	1.28	3.284e-5	0.0207	Co-occurrence<Significant>	
UNC45B	17q12	23 (10.65%)	1 (0.66%)	4.01	3.378e-5	0.0207	Co-occurrence<Significant>	
TENM3	4q34.3-q35.1	60 (27.78%)	16 (10.60%)	1.39	3.417e-5	0.0207	Co-occurrence<Significant>	
ZDBF2	2q33.3	45 (20.83%)	9 (5.96%)	1.81	3.460e-5	0.0207	Co-occurrence<Significant>	
HMCN1	1q25.3-q31.1	49 (22.69%)	11 (7.28%)	1.64	4.253e-5	0.0220	Co-occurrence<Significant>	
PCDHA8	5q31.3	32 (14.81%)	4 (2.65%)	2.48	4.284e-5	0.0220	Co-occurrence<Significant>	
